Localidades;Períodos;Abastecimento de Água  Nível de Atendimento  Censo Demográfico (Em %);Coleta de Lixo  Nível de Atendimento  Censo Demográfico (Em %);Esgoto Sanitário  Nível de Atendimento  Censo Demográfico (Em %);Cód. IBGE
Santa Clara d'Oeste;2010;99.62;100;99.43;3546108
Santa Cruz da Conceição;2010;99.89;100;98.13;3546207
Santa Cruz da Esperança;2010;100;99.75;97.76;3546256
Santa Cruz das Palmeiras;2010;99.91;99.94;99.74;3546306
Santa Cruz do Rio Pardo;2010;99.35;99.73;96.11;3546405
Santa Ernestina;2010;99.8;99.87;99.28;3546504
Santa Fé do Sul;2010;98.43;99.81;97.98;3546603
Santa Gertrudes;2010;99.17;99.55;98.91;3546702
Santa Isabel;2010;89.88;99.49;68.78;3546801
Santa Lúcia;2010;99.96;100;99.96;3546900
Santa Maria da Serra;2010;99.86;100;99.66;3547007
Santa Mercedes;2010;99.51;99.14;77.15;3547106
Santa Rita d'Oeste;2010;99.69;100;92.94;3547403
Santa Rita do Passa Quatro;2010;99.85;99.89;98.12;3547502
Santa Rosa de Viterbo;2010;99.52;99.99;99.21;3547601
Santa Salete;2010;100;100;98.65;3547650
Santana da Ponte Pensa;2010;100;100;99.76;3547205
Santana de Parnaíba;2010;90.88;99.47;42.6;3547304
Santo Anastácio;2010;98.92;99.41;98.25;3547700
Santo André;2010;97.61;99.91;94.48;3547809
Santo Antônio da Alegria;2010;99.42;99.87;96.99;3547908
Santo Antônio de Posse;2010;97.9;99.86;61.04;3548005
Santo Antônio do Aracanguá;2010;95.88;99.79;95.35;3548054
Santo Antônio do Jardim;2010;97.85;99.46;95.79;3548104
Santo Antônio do Pinhal;2010;82.76;99.75;62.76;3548203
Santo Expedito;2010;99.3;99.77;73.4;3548302
Santópolis do Aguapeí;2010;99.16;99.92;99.23;3548401
Santos;2010;99.56;99.8;95.29;3548500
São Bento do Sapucaí;2010;99.27;99.45;86.28;3548609
São Bernardo do Campo;2010;99.05;99.87;90.26;3548708
São Caetano do Sul;2010;99.96;100;99.85;3548807
São Carlos;2010;99.66;99.9;99.43;3548906
São Francisco;2010;99.87;100;99.6;3549003
São João da Boa Vista;2010;98.33;98.94;97.59;3549102
São João das Duas Pontes;2010;99.85;100;100;3549201
São João de Iracema;2010;98.76;100;97.73;3549250
São João do Pau d'Alho;2010;99.83;100;97.66;3549300
São Joaquim da Barra;2010;99.56;99.78;99.7;3549409
São José da Bela Vista;2010;98.86;99.54;98.58;3549508
São José do Barreiro;2010;98.83;99.68;88.94;3549607
São José do Rio Pardo;2010;99.22;99.68;97.75;3549706
São José do Rio Preto;2010;92.87;99.94;99.08;3549805
São José dos Campos;2010;98.41;99.82;93.3;3549904
São Lourenço da Serra;2010;62.79;96.44;44.56;3549953
São Luiz do Paraitinga;2010;96.6;99.8;83.84;3550001
São Manuel;2010;98.51;98.77;96.82;3550100
São Miguel Arcanjo;2010;96.91;99.54;86.14;3550209
São Paulo;2010;99.32;99.81;92.26;3550308
São Pedro;2010;99.02;99.39;95.48;3550407
São Pedro do Turvo;2010;99.76;99.58;97.96;3550506
São Roque;2010;78.25;97.94;60.41;3550605
São Sebastião;2010;70.65;99.79;52.46;3550704
São Sebastião da Grama;2010;99.26;99.65;98.63;3550803
São Simão;2010;99.48;99.6;98.83;3550902
São Vicente;2010;99.36;99.71;87.08;3551009
Sarapuí;2010;99.37;99.66;67.81;3551108
Sarutaiá;2010;98.63;99.68;92.39;3551207
Sebastianópolis do Sul;2010;99.39;100;99.27;3551306
Serra Azul;2010;93.04;99.91;92.43;3551405
Serra Negra;2010;88.68;99.3;76.63;3551603
Serrana;2010;99.96;99.97;99.58;3551504
Sertãozinho;2010;99.4;99.79;98.94;3551702
Sete Barras;2010;97.78;99.4;87.1;3551801
Severínia;2010;99.86;99.95;99.77;3551900
Silveiras;2010;97.64;99.88;96.23;3552007
Socorro;2010;87.66;99.24;82.44;3552106
Sorocaba;2010;99.51;99.92;97.75;3552205
Sud Mennucci;2010;99.14;100;98.28;3552304
Sumaré;2010;98.01;99.74;93.75;3552403
Suzanápolis;2010;99.73;99.73;94.39;3552551
Suzano;2010;94.91;99.21;85.01;3552502
Tabapuã;2010;99.17;99.57;99.11;3552601
Tabatinga;2010;99.77;99.87;97.71;3552700
Taboão da Serra;2010;99.63;99.94;90.82;3552809
Taciba;2010;97.9;98.49;97.7;3552908
Taguaí;2010;99.96;100;98.33;3553005
Taiaçu;2010;99.88;99.64;99.09;3553104
Taiúva;2010;98.96;99.39;98.84;3553203
Tambaú;2010;98.97;98.92;97.95;3553302
Tanabi;2010;95.84;98.86;86.83;3553401
Tapiraí;2010;94.45;98.96;87.26;3553500
Tapiratiba;2010;99.37;99.69;98.21;3553609
Taquaral;2010;99.26;99.88;99.38;3553658
Taquaritinga;2010;99;99.57;98.9;3553708
Taquarituba;2010;99.19;99.84;98.65;3553807
Taquarivaí;2010;94.49;99.25;86.48;3553856
Tarabai;2010;99.2;99.68;97.77;3553906
Tarumã;2010;99.68;99.95;99.09;3553955
Tatuí;2010;97.02;99.5;94.1;3554003
Taubaté;2010;98.6;99.78;95.93;3554102
Tejupá;2010;92.84;98.55;95.08;3554201
Teodoro Sampaio;2010;99.8;99.89;96.12;3554300
Terra Roxa;2010;89.57;99.65;99.42;3554409
Tietê;2010;99.03;99.87;94.8;3554508
Timburi;2010;96.83;99.85;93.66;3554607
Torre de Pedra;2010;97.21;100;94.42;3554656
Torrinha;2010;99.29;99.68;97.7;3554706
Trabiju;2010;100;100;99.76;3554755
Tremembé;2010;96.42;98.77;82.39;3554805
Três Fronteiras;2010;99.62;99.94;97.14;3554904
Tuiuti;2010;97.16;99.9;59.29;3554953
Tupã;2010;98.47;99.2;97.83;3555000
Tupi Paulista;2010;99.59;99.57;98.43;3555109
Turiúba;2010;99.66;99.83;99.31;3555208
Turmalina;2010;99.42;100;99.61;3555307
Ubarana;2010;99.31;99.72;97.04;3555356
Ubatuba;2010;75.05;99.67;27.65;3555406
Ubirajara;2010;99.06;99.44;95.41;3555505
Uchoa;2010;99.27;99.59;99.17;3555604
União Paulista;2010;100;100;100;3555703
Urânia;2010;99.26;99.61;98.71;3555802
Uru;2010;99.73;100;96.82;3555901
Urupês;2010;99.63;99.95;99.29;3556008
Valentim Gentil;2010;99.41;99.94;99.26;3556107
Valinhos;2010;94.57;99.89;92.43;3556206
Valparaíso;2010;99.37;99.83;98.61;3556305
Vargem;2010;90.07;100;73.43;3556354
Vargem Grande do Sul;2010;98.49;99.59;98.47;3556404
Vargem Grande Paulista;2010;87.41;99.47;46.76;3556453
Várzea Paulista;2010;92.97;99.91;88.49;3556503
Vera Cruz;2010;98.55;99.31;95.88;3556602
Vinhedo;2010;96.43;99.63;82.96;3556701
Viradouro;2010;98.95;99.68;99.05;3556800
Vista Alegre do Alto;2010;99.95;99.95;99.74;3556909
Vitória Brasil;2010;98.27;99.57;97.19;3556958
Votorantim;2010;98.38;99.8;95.94;3557006
Votuporanga;2010;99.5;99.79;98.95;3557105
Zacarias;2010;99.06;100;97.02;3557154
